inference_time,cpu_usage,ram_usage,disk_usage
4.008190889999241,3.8,2930.046875,-1.0
6.077125726002123,37.5,2935.27734375,16.310738858176226
5.009472195000853,23.4,2936.37109375,82.24505943761962
6.248938689001079,27.2,2936.3359375,0.0
3.52345066700218,35.8,2936.57421875,0.0
,40.5,2937.06640625,0.0
,39.8,2939.38671875,0.0
,29.6,2939.55078125,0.0
,24.4,2939.55078125,0.0
,28.7,2939.55078125,0.0
,43.9,2940.59765625,0.0
,39.0,2940.6328125,0.0
,29.3,2940.58984375,0.0
,26.6,2940.58984375,0.0
,38.3,2940.58984375,0.0
,34.2,2940.55859375,0.0
,38.3,2940.6953125,0.0
,25.6,2940.6953125,0.0
,28.4,2940.6953125,0.0
,25.6,2940.6953125,0.0
,37.7,2941.64453125,0.0
,36.3,2941.37109375,0.0
,23.4,2941.37109375,0.0
